#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
6705,697,56636,0.07753799, , ,0.051356231,1.344122423,0.821197265,0.625847666, ,0.352904396,0.246421892,0.492260299,0.149577073,0.000370014,0.032503219,0.021487125,0.981251269,2.431684744,6.941803802, , ,0.106684843,0.051413079,0.010375936,0.043696501,3.041878934,0.128474673,0.052551551,0.046170864
458,185,51929,0.164813, ,1.014467404,2.098469241,1.260971251,0.777973007,0.373702633,0.19170087,0.109168852,0.250647509,0.45383946,0.111025813,0.046766232,0.019898756,0.011522241,1.049911689,2.110217833,6.042315375, , ,0.122428225,0.022942661,0.011805859,0.039355294,3.254726235,0.115853947,0.089345935,0.077159394
4320,831,55894,0.08429431, , ,3.090368871,0.385770646,0.55749897,0.481288115,0.201942369,0.105710462,0.251703571,0.449659731,0.093153963,0.010805436,0.000409165, ,0.976942103,2.149122639,6.133957685, , ,0.008948488,0.020897218,0.01433418,0.026885696,3.028520521,0.079041894,0.114709936,0.083099125
6832,75,56426,0.2016713,0.211131269,0.478793777,1.078527549, ,1.877893845,1.020031114, ,0.489723528,0.265634083,0.476737218,0.284677985,0.317472088,0.048580375,0.044060431,1.110235174,4.111380051,11.80175696,0.016290302,0.004071379,0.085402017,0.294635745,0.1062913,0.211638588,3.441729041,0.623657246,0.316000461,0.350591537
375,118,52140,0.06668141, , , ,1.786181254,0.874667145,0.452402446,0.03609445,0.313064895,0.263035623,0.448362737,0.101982077,0.010244735,0.016997827,0.009362182,0.994627324,2.143243622,6.12208046, ,0.00294979,0.114107996,0.025413283,0.009462753,0.021044758,3.083344704,0.061890254,0.103558921,0.082119869
2780,245,54557,0.07394332, , , ,2.489333991,1.993962583,0.426639933,0.307550821,0.030796198,0.274240619,0.458527214,0.055122587,0.00619528,0.009600425,0.004416806,0.939838478,1.744550931,4.970647212, , ,0.001471498,0.050713503,0.025589309,0.046323398,2.913499281,0.136090885,0.197577408,0.149910703
7315,794,56685,0.1662176,2.259437995,0.092761894,3.058419928,1.621764001,0.701294996,0.468566067,0.158767737,0.336513955,0.271278459,0.50020545,0.131589276,0.015013243,0.028320785, ,1.067025407,2.256900658,6.466987984, , ,0.131761934,0.025419504, ,0.038819504,3.30777876,0.114310495,0.091585445,0.062979314
7388,298,56783,0.1988796,0.096414871,0.095623271,0.068375842,0.285906147,0.639417459,0.443495081,0.108563133,0.196491238,0.267122055,0.457652117,0.081938692,0.00751551,0.008691127, ,0.953720387,1.916511914,5.464178955,0.002357699, ,0.099976659,0.021070739,0.000899674,0.035895738,2.956533199,0.105484306,0.090178882,0.073628264
663,406,52145,0.05355561, , , ,1.342966232,1.257413315,0.451644344,0.149976192,0.189366023,0.292985493,0.541396035,0.052230672, ,0.004896686, ,1.065758469,1.713451687,4.90951332, ,0.002378844,0.12876212,0.071150806,0.0206862,0.045190684,3.303851255,0.133068576,0.27825021,0.195924212
945,423,52652,0.0474776, , , ,1.202022967,0.752874162,0.317334367,0.147545151,0.10215072,0.239267863,0.453938634,0.042687747,0.017826393,0.006378113,0.011101694,0.97271484,1.529340154,4.36415081,0.017429671, ,0.104572292,0.043185934,0.020210347,0.053855343,3.015416003,0.158318019,0.253690984,0.187366017
