#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
4320,831,55894,0.08429431,0,0,613.5396,77.02522,111.3135,96.3458,40.51075,21.2061,50.66788,91.07738,18.88045,2.20909,0.08370866,0,200.6055,442.3032,1263.723,0,0,1.870467,4.391084,3.014203,5.665524,638.2932,16.66331,24.22247,17.55049,0,0,0,5.309419,6.42287,2.153904,5.296187,4.52424,1.506567,1.802223,1.207227,0.7618078,15.16068,0,2.56127,2.335156,6.671875,0,0,2.154954,1.541041,1.650872,0.4070271,5.156595,1.197138,1.970868,1.096672
6832,75,56426,0.2016713,71.95496,159.6368,356.4563,0,605.0164,324.8415,0,154.4922,82.51122,144.0391,85.75906,91.99755,14.03408,12.6895,315.4682,1156.414,3304.039,4.484746,1.120857,22.40648,75.50184,27.14886,53.54618,870.1467,157.4888,79.21241,87.81504,19.92001,22.91676,41.14202,0,66.04823,38.45001,0,17.84703,10.48557,15.84312,10.25866,10.23749,4.496529,5.449978,28.73823,101.3813,289.661,22.34025,35.63293,3.621109,7.083563,5.683311,4.700778,51.26784,13.82582,6.79188,7.144719
375,118,52140,0.06668141,0,0,0,2601.059,1273.701,659.1878,52.6182,456.3835,383.7573,655.0753,149.0223,15.00018,24.89193,13.71231,1457.792,3142.926,8979.788,0,4.330457,167.9328,37.44617,13.9456,31.02958,4546.429,91.26347,152.7661,121.1449,0,0,0,155.2674,24.14463,14.58185,0,12.92523,10.74851,12.04981,6.888872,4.771727,3.605575,4.665961,17.49438,18.4883,52.82371,0,5.828962,5.523062,3.224978,2.529456,1.413547,48.17412,4.157491,4.855559,4.511189
2780,245,54557,0.07394332,0,0,0,2312.174,1852.057,399.014,289.2529,28.96396,260.3057,442.4393,53.2813,6.127838,9.513414,4.384719,940.5044,1756.349,5018.142,0,0,1.543895,53.95774,27.27911,49.66115,3124.783,146.0622,212.9824,161.6738,0,0,0,0,259.4044,45.35955,47.78218,78.1084,32.32579,55.53361,9.747322,5.206654,4.341061,13.32654,93.28327,161.5711,461.6317,0,0,4.528859,5.761187,7.172577,4.168488,229.4145,12.26026,15.47131,11.85331
7315,794,56685,0.1662176,849.0422,34.38667,1127.598,588.5341,254.4982,168.8221,56.869,120.5359,96.24002,174.4323,45.80447,5.101584,9.605053,0,358.1899,752.8563,2151.018,0,0,42.09606,8.003315,0,12.12598,1032.776,35.66466,28.44424,19.55042,148.6642,34.81273,0,79.92441,4.510653,3.394535,43.73971,3.582513,2.733189,3.282291,2.51093,2.069048,2.531307,0,4.424032,3.978546,11.36727,0,0,1.988181,1.54038,0,0.7187012,8.452403,2.113827,1.613644,2.320889
7388,298,56783,0.1988796,32.79373,32.84928,23.58257,99.75442,223.0967,155.5537,38.24132,69.21396,94.75632,164.3933,29.4724,2.751203,3.186038,0,352.2496,711.1177,2031.765,0.8833648,0,38.28444,8.155311,0.3487294,13.97376,1151.323,41.09929,35.25336,28.79343,9.077608,8.348643,4.768601,10.10398,10.08301,3.515887,7.100986,6.520885,2.534454,3.510536,1.943024,11.21164,1.684477,0,4.304646,3.707187,10.59196,5.629519,0,1.650899,1.34644,61.45176,0.8570318,10.10577,2.520682,1.707044,1.642142
663,406,52145,0.05355561,0,0,0,594.216,556.3618,198.4301,65.5141,82.72076,126.7833,230.3593,22.18399,0,2.027357,0,436.83,697.97,1994.2,0,0.9564373,50.27455,27.38467,7.945929,17.25852,1261.193,50.76036,105.6664,74.36758,0,0,0,31.41053,26.26513,9.221803,17.0968,15.16488,6.148746,6.684252,3.636856,0,10.04948,0,7.178864,5.504722,15.72778,0,9.760483,3.275588,3.054503,3.028074,0.9423457,10.27691,2.771605,2.69354,2.458854
945,423,52652,0.0474776,0,0,0,761.4158,476.9046,201.6318,93.98362,65.06818,153.0351,292.473,27.52512,11.61311,4.158472,7.244059,636.9821,1004.185,2869.1,11.50969,0,69.93925,29.0639,13.61321,36.36684,2036.611,106.9613,171.7305,126.8594,0,0,0,100.6579,72.96111,27.92546,20.83749,15.40336,20.71483,31.60926,4.650232,7.496713,4.198554,6.399297,64.83597,116.795,333.6999,10.14025,0,7.472101,3.387128,3.133468,2.783183,148.321,8.185832,14.34313,9.561636
2954,37,54561,0.05649294,0,0,0,693.4609,854.0542,299.8053,85.65663,116.0088,188.0693,371.7823,33.43484,52.44637,4.577788,14.54732,886.4277,1571.279,4489.368,10.86396,0,116.3031,62.84699,24.83218,50.63146,3157.592,148.9161,239.9292,175.6939,0,0,0,48.44709,51.69537,12.8861,22.08014,22.18763,7.651539,8.490666,6.294048,27.96687,6.785845,7.909965,11.8184,11.9749,34.21399,4.601596,0,5.494989,3.864405,3.502599,1.408955,31.7196,4.143985,5.519862,5.51748
4317,57,55480,0.1450429,0,574.2644,21.47449,58.7276,305.6999,97.22088,19.35381,38.66513,47.81732,88.33347,13.1833,0,0,0,185.7759,366.4046,1046.87,0,0,19.50967,8.238489,1.479121,5.339383,506.9908,15.70407,32.14324,20.86792,0,0,0,22.71952,20.0297,2.767995,5.085573,5.9998,2.254452,2.506305,1.577846,0,0,0,21.17492,2.517822,7.193777,0,0,1.492939,1.357997,2.336349,0.4580396,4.101788,1.347175,1.825542,1.811142
693,463,52254,0.08846061,0,0,0,175.7402,226.1729,145.5988,48.5735,40.66986,67.65364,128.9487,16.36386,0,0,0,285.5075,638.0486,1822.996,0,0,35.13662,10.27392,1.949865,10.66579,890.7833,31.36996,35.30202,27.82935,0,0,0,13.32125,15.08626,6.787222,7.095253,7.090159,4.364677,4.032804,3.245752,0,0,0,6.509942,5.896989,16.84854,0,0,3.069652,2.319564,4.394913,0.8994188,10.72902,2.64535,3.152999,3.050315
6293,573,56561,0.105871,0,1.151651,9.297168,422.6542,542.2842,212.4586,71.39524,91.98065,111.3481,211.1391,27.38993,0.629801,2.094941,0,497.2807,1033.332,2952.378,3.479457,0.8246384,59.75531,38.43108,13.56676,43.68773,1924.56,128.4933,125.3277,101.1198,0,18.817,2.048641,24.46928,36.67394,12.20107,5.066123,5.787651,6.763305,11.74228,2.050458,2.300989,1.533523,0,22.52871,47.31972,135.1992,7.051574,13.04897,3.095149,1.959808,1.164009,1.730734,61.73858,5.090394,4.100731,3.645908
1824,63,53491,0.1061823,0,0,2435.782,454.4391,739.9504,236.0672,137.8756,33.08736,148.5289,279.5972,22.24588,6.829599,5.489901,0,605.2215,1070.192,3057.693,0,0.9722908,77.32986,36.95343,18.21914,34.28662,2008.576,100.843,136.3326,100.8554,0,0,0,70.50745,111.9154,30.12871,47.49821,49.20202,19.46436,37.0144,4.360939,5.125881,5.514163,0,67.18764,128.1428,366.1223,0,3.389896,8.072524,4.737427,4.697993,3.246891,153.9302,9.54968,12.06055,8.749813
1801,525,54156,0.1234649,0,0,104.9141,246.9049,459.4272,362.4988,112.4427,127.4353,187.7619,351.5317,73.83852,3.707304,11.12252,12.88921,779.591,1782.218,5092.052,0,0,88.50495,20.73334,8.662731,19.02203,2360.566,55.94715,84.55503,64.90001,0,0,22.15436,16.61531,18.24017,7.486859,11.87825,11.5811,4.503097,6.286056,3.456645,2.067111,3.344646,11.36685,9.142444,11.91824,34.05212,0,0,2.604434,1.882856,1.907936,1.207608,18.41973,3.551789,3.243968,3.204695
2947,562,54533,0.07557455,0,0,0,432.0021,708.8728,182.8213,72.11296,69.29236,122.7649,221.6568,20.18563,0,0,0,457.82,750.7498,2144.999,0,3.525101,53.04037,26.60953,7.84667,24.4601,1357.681,71.94147,113.554,88.64843,0,0,0,21.67728,23.99012,5.358519,71.46636,69.9772,4.22164,4.440124,2.396069,0,0,0,6.027913,6.082366,17.37819,0,2.041513,2.060731,1.487343,1.532266,0.6841657,13.25467,2.012252,2.689342,3.360651
2284,545,53708,0.1255484,0,0,2843.281,728.1654,647.6853,335.8004,194.3551,45.77298,197.4662,367.3946,37.01823,0,0,0,799.0264,1376.771,3933.631,7.587037,0,97.83692,37.81307,17.20304,155.5488,2358.804,457.4963,148.412,117.9262,0,0,0,37.77105,35.00298,7.662064,48.85201,42.03569,4.970898,6.849875,3.081765,0,0,0,10.78354,10.99743,31.42123,2.834792,0,3.370497,2.889685,3.494249,18.73097,26.13821,55.09108,5.574194,5.987764
