#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
472,546,51955,0.05699043,0,0,0,440.5565,919.3173,232.294,83.6029,94.02905,196.4361,318.1372,13.57886,0,9.179943,0,673.2724,981.2112,2803.46,3.196594,0,76.48331,30.02653,11.01084,35.76678,2149.666,105.1964,171.3132,126.2084,0,0,0,60.28811,113.2576,26.85406,15.72201,16.32724,23.39298,30.93084,5.1284,0,5.35704,0,61.43465,94.11389,268.8968,5.354961,0,7.480672,3.537978,2.94217,2.825592,149.5599,8.310565,13.48823,9.771752
704,494,52205,0.07056754,0,0,0,295.5872,366.4844,143.6048,21.09748,82.80216,89.39078,160.0414,21.54511,2.896143,2.770803,0,343.5229,586.2973,1675.135,0,9695.438,0,16.43674,6.553441,11.11837,1007.962,32.70108,72.0611,47.04282,0,0,0,15.61577,17.09772,5.268136,13.47279,13.82873,4.283535,4.201947,2.223514,2.646623,56.6405,0,4.55302,3.763436,10.75267,0,6207595,0,1.678053,1.640258,0.6342183,10.35885,1.865348,2.291659,2.046896
1095,490,52521,0.2789266,0.7187451,0,0,107.1811,64.04945,7.022336,0,7.774683,16.25604,34.53598,2.48E+14,7.000493,4.81839,0.1644249,66.25483,33.02439,94.35542,0,5.909998,9.354963,12.34314,7.817,24.06764,299.1178,70.78717,50.90642,27.75836,24.45375,0,0,29.63379,17.22874,5.278965,0,5.0705,7.027732,9.006948,3.28E+09,6.911345,3.613763,0,12.6825,5.573682,15.92481,0,2.918885,6.364461,5.468541,4.871069,3.282894,38.95458,9.655572,9.945422,7.212695
4647,400,55621,0.4476307,16.22346,49.11264,132.214,87.27545,341.8888,175.7953,26.74829,59.11666,41.72405,110.7178,35.28025,44.48537,7.784837,0,223.4546,823.9377,2354.108,22.65386,6.383905,22.52309,56.79172,19.52328,70.80103,688.0988,208.2383,95.21359,100.4516,6.112149,10.74597,21.53696,310.7528,162.4527,23.05023,38.66501,34.04017,10.1717,20.6834,9.762244,6.746878,4.738048,0,24.34303,76.13114,217.5176,43.47934,5.153753,6.728414,6.75949,4.87789,7.338592,68.00013,21.58409,12.84471,12.39842
6431,846,56311,0.4714404,8.353383,20.64552,47.1216,42.20319,66.94161,70.94257,19.8724,19.02872,22.49585,43.99995,22.30397,18.95271,1.072346,1.343582,107.0005,339.5121,970.0347,0,0,10.67462,20.75465,13.97513,35.00969,443.1304,102.9697,22.28407,18.95135,1.720939,2.164845,2.455735,6.602395,6.126691,2.847335,21.97525,18.20169,1.779001,2.257006,1.957377,1.885778,1.355093,1.503199,2.512698,2.50896,7.168458,0,0,3.284654,1.92006,4.197856,2.812493,6.952461,8.272038,4.401153,4.479414
266,407,51630,0.05158934,0,0,0,1896.14,2408.393,325.8307,111.2692,318.79,416.5097,744.4029,25.86925,14.64002,0,0,1590.88,1396.214,3989.181,0,14.93899,206.6408,116.7036,41.18975,236.1659,5505.8,694.6056,690.9788,477.8908,0,0,0,149.7004,163.4055,23.67257,127.5886,163.5315,28.23026,44.18728,9.644051,0,0,0,83.08673,74.70799,213.4514,0,11.80017,12.98408,7.909693,6.291238,8.020497,205.3696,23.5897,24.88135,19.71767
594,493,52045,0.2089368,75.86195,29.12512,49.80832,220.1851,685.1177,201.4205,77.04049,77.0769,130.8115,251.189,25.87545,0,0,0,583.2869,1116.709,3190.597,0,7.215652,78.10385,49.58138,13.91399,44.4206,2199.171,130.6488,147.1751,110.6946,16.15115,23.07558,14.93538,32.41608,33.43335,5.875119,26.02854,24.50782,4.334842,5.867508,3.639563,0,0,0,6.382324,6.839476,19.54136,0,4.852356,2.866825,4.776402,2.996793,1.746485,20.02406,5.136722,4.816219,3.945334
767,463,52252,0.04819306,0,0,0,654.6248,785.7813,154.0364,56.64546,90.39725,142.1357,240.702,17.73928,3.539964,0,0,551.2442,705.9785,2017.081,0,4.700713,61.15003,44.50555,22.04995,35.13503,1891.817,103.3383,205.2316,145.0106,0,0,0,31.30019,27.33356,7.023978,0,10.65205,5.090392,6.184248,4.538878,5.604381,0,0,7.67213,5.994565,17.12733,0,6.814693,4.222817,2.816278,3.319777,1.404191,16.26423,4.129973,4.365034,4.259028
1217,349,52672,0.2234275,86.52689,198.3835,337.8612,1.25288,2070.746,492.1947,154.9373,104.889,144.9114,277.083,143.6728,117.0874,0,0,592.9149,1680.726,4802.074,0,0,31.5021,220.0569,68.78639,127.0691,1600.931,373.7328,311.1479,197.4067,28.20763,38.08352,53.07686,100647.7,1699.197,55.94781,307.0419,364.098,21.61838,33.73132,19.6309,18.92661,0,0,46.94532,152.1127,434.6077,0,0,8.491704,22.43961,12.44066,9.373553,117.2602,27.56927,28.66269,22.59099
1779,164,53089,0.1184578,0,0,173.2169,338.2336,721.7458,290.7496,111.2821,22.33656,47.4085,117.9868,40.336,45.06638,0,18.45858,308.9847,1098.368,3138.194,32.89239,0,33.09287,226.0376,78.37656,400.2062,1105.442,1177.077,477.472,309.966,0,0,27.5806,7622.732,8072.507,16.63742,24.98389,17.00941,10.72534,13.26308,11.80323,10.21621,0,9.623128,14.57853,15.30779,43.73655,14.56797,0,12.02486,14.23748,14.538,7.766738,26.90559,22.84335,22.94385,18.3264
2171,324,53557,0.05265497,0,0,0,175.6431,1083.968,362.1551,196.6766,72.70061,232.1929,428.2946,76.23602,0,0,0,982.2994,1681.618,4804.623,0,6.517186,114.9653,48.70732,18.97007,22.86226,3079.752,67.24193,160.4191,124.6691,0,0,0,394.7965,300.8842,9.605888,23.97239,17.10364,6.762063,8.535351,4.060856,0,0,0,10.42096,11.04777,31.56506,0,4.089736,4.247684,3.045561,8.020804,1.054444,30.09208,3.101306,4.501189,3.860252
2478,541,54097,0.2651455,11.68554,67.63168,122.2921,154.0037,289.7464,203.9911,83.68468,27.09816,72.66307,133.6073,99.16181,68.02612,0,6.063373,319.6247,766.9433,2191.267,0,14.04254,28.75814,96.15426,36.75293,63.49333,980.4919,186.7451,97.81386,91.95272,17.08662,17.03133,25.88772,391.3136,414.0841,29.36618,1944.034,11394.07,13.86994,18.02577,17.72591,15.45213,0,7.05394,46.60849,82.19775,234.8507,0,6.546611,9.161655,14.24929,9.776092,6.679305,85.34862,19.64501,17.99881,13.28888
5444,835,56038,0.06465881,0,1.27E-13,22.896,132.7603,97.20206,95.19602,36.66071,18.76754,45.62537,73.691,17.87477,1.5658,4.636096,0,164.1614,376.9479,1076.994,0,5.01914,20.11309,5.215038,5.360579,5.97484,512.2806,17.57306,21.76236,18.48586,0,149131.3,23.83594,49.59274,35.4495,38.86997,15.06546,8.342601,16.32706,23.99402,5.990106,3.228379,3.108902,0,39.14688,107.2247,306.3563,0,3.224596,5.723793,1.892121,3.109254,1.479048,125.2455,4.350142,5.197218,4.722778
4371,285,55830,0.06919285,0,48.84589,25.55303,216.0318,325.1708,260.0322,93.4383,63.1464,121.6952,211.8536,44.05433,0,8.259721,4.670815,471.184,1164.686,3327.675,3.874784,0,57.04356,14.44983,4.323437,18.18039,1422.905,53.47174,48.94353,46.87369,0,19.86738,11.17786,29.76294,45.49923,36.12577,13.07756,10.18037,13.44251,22.88337,6.300817,0,2.500333,1.599866,41.68673,100.7127,287.7507,2.515949,0,5.1777,2.320603,1.918911,1.300905,95.47251,3.826191,4.321148,3.787104
