#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
1064,208,52577,0.277521,0.347824285,0.228651036,0.355199586,1.593265284,0.647668165,0.188158946,0.134565103,0.188302922,0.168948073,0.392470061,0,0,0,0,0.634294354,0.283466376,0.793612116,0.020066937,0.05871376,0.122359841,0.094609879,0.051269528,0.227019645,1.966312499,0.662173054,0.297154726,0.271345578
1777,76,53857,0.0633163,0,0,0,0.811816309,2.402616724,0.903029883,0.077940091,0.438775898,0.297989443,0.512024316,0.236013089,0.251297686,0.045136523,0.035987271,1.118992954,4.072837725,11.6952278,0,0.051223022,0.099105116,0.392908355,0.110589837,0.377888127,3.468878159,1.113721547,0.760516347,0.584423897
690,158,52261,0.2784727,0.067127714,0,0.08582372,1.215993135,1.499247868,0.03870209,0,0.16737367,0.206793933,0.405056369,0,0.447980595,0,0,0.956842058,0.310829266,0.886336304,0.12912807,0,0.085690572,0.13962564,0.032908689,0.2346547,2.966210381,0.689604515,0.574125256,0.445313755
884,404,52374,0.05146099,0,0,0,0.453311335,0.721358497,0.376319201,0.109247321,0.165231343,0.244722517,0.436922869,0.096991504,0.010513987,0.007134807,0,0.966637564,1.743459676,4.973774352,0.005441284,0,0.101390004,0.034038137,0.011437422,0.017469928,2.996576447,0.051350295,0.127807524,0.090912629
6967,75,56447,0.0711363,0,0.007215746,1.567404269,0.934301361,0.536649104,0.397282626,0.057007874,0.288915776,0.236892552,0.433275786,0.135236454,0.022850566,0,0,0.922554647,1.88623946,5.369898057,0,0.00286405,0,0.020797927,0.007884358,0.01009683,2.859919406,0.029652851,0.059583638,0.042999883
1212,388,52703,0.057686,0,0,0,0.907601865,1.360915469,0.343802235,0.128591824,0.151288541,0.255703092,0.461189733,0.038620938,0.007481066,0,0,0.978104798,1.475087157,4.210370473,0.010583795,0,0.110450761,0.055144891,0.023271323,0.042538304,3.032124874,0.125062005,0.25545777,0.1879358
6799,300,56478,0.2786486,0.344855765,0,0.225240413,1.528916928,3.084382458,0.380045807,0,0.141947675,0.337536701,0.305280542,0,0,0,0,0.78474545,0.883345983,2.49668499,0,0,0.132388104,0.390896208,0.110555821,0.718382176,2.432710896,2.10354972,0.843567614,0.666998716
761,477,54524,0.09506707,0,0,0,0.693982561,1.189776479,0.446448877,0.14667677,0.19351328,0.275245819,0.492225777,0.073959572,0,0.002646426,0,1.107749666,1.948131478,5.591572354,0,0,0.130927246,0.052564055,0.029216023,0.042221741,3.434023964,0.124414024,0.253034973,0.174867464
4717,121,55742,0.3904977,0.151550963,0.365899257,0.942017987,0.279255915,1.904021512,0.903557935,0.029994257,0.381250868,0.20037365,0.400367708,0.150965233,0.231849592,0.038671006,0.018611163,0.927294687,3.88087333,11.05091463,0,0.024839008,0.124565226,0.213594151,0.06318653,0.191943366,2.874613531,0.563761164,0.448076367,0.277437165
6395,822,56354,0.2769329,0.015439556,0.120255743,0.180093849,1.018070182,0.386220746,0.091476687,0.134984053,0.071281091,0.094999774,0.31051277,24913.62282,0.02679243,0,0.002555595,0.677781805,0.148888159,0.418073315,0,0.006319006,0.048718022,0.095046009,0.038657604,0.34826119,2.101123595,1.017043043,0.243229332,0.189015403
934,531,52672,0.1843199,2.217719597,0.595357517,1.553885124,1.320982024,0.138926549,0.95504011,0.259636647,0.196602958,0.214090121,0.421493253,0.120426908,0.335592852,0,0.032215923,0.958314745,3.592658683,10.24524763,0,0.003255327,0.115398185,0.154817136,0.102436938,0.484487358,2.970775709,1.423854136,0.357953868,0.324129272
1035,574,52816,0.1194246,0,0,0.124110024,1.905852825,1.667098438,0.497597468,0,0.313076257,0.244472524,0.470770939,0.068886598,0,0,0.020169218,0.989023587,2.084721755,5.95341446,0,0.009778472,0.110808555,0.065445935,0.019834826,0.042913541,3.065973121,0.126190838,0.177190422,0.135430074
